ticker,name,type,image_url,,,,,,,,,
AAPL,Apple Inc.,stock,,,,,,,,,,
MSFT,Microsoft Corporation,stock,,,,,,,,,,
AMZN,Amazon.com Inc.,stock,,,,,,,,,,
GOOGL,Alphabet Inc. Class A,stock,,,,,,,,,,
GOOG,Alphabet Inc. Class C,stock,,,,,,,,,,
BRK.B,Berkshire Hathaway Inc. Class B,stock,,,,,,,,,,
TSLA,Tesla Inc,stock,,,,,,,,,,
JNJ,Johnson & Johnson,stock,,,,,,,,,,
UNH,UnitedHealth Group Incorporated,stock,,,,,,,,,,
FB,Meta Platforms Inc. Class A,stock,,,,,,,,,,
NVDA,NVIDIA Corporation,stock,,,,,,,,,,
XOM,Exxon Mobil Corporation,stock,,,,,,,,,,
JPM,JPMorgan Chase & Co.,stock,,,,,,,,,,
PG,Procter & Gamble Company,stock,,,,,,,,,,
V,Visa Inc. Class A,stock,,,,,,,,,,
CVX,Chevron Corporation,stock,,,,,,,,,,
HD,Home Depot Inc.,stock,,,,,,,,,,
PFE,Pfizer Inc.,stock,,,,,,,,,,
MA,Mastercard Incorporated Class A,stock,,,,,,,,,,
ABBV,AbbVie Inc.,stock,,,,,,,,,,
BAC,Bank of America Corp,stock,,,,,,,,,,
LLY,Eli Lilly and Company,stock,,,,,,,,,,
KO,Coca-Cola Company,stock,,,,,,,,,,
MRK,Merck & Co. Inc.,stock,,,,,,,,,,
PEP,PepsiCo Inc.,stock,,,,,,,,,,
AVGO,Broadcom Inc.,stock,,,,,,,,,,
TMO,Thermo Fisher Scientific Inc.,stock,,,,,,,,,,
VZ,Verizon Communications Inc.,stock,,,,,,,,,,
ABT,Abbott Laboratories,stock,,,,,,,,,,
CMCSA,Comcast Corporation Class A,stock,,,,,,,,,,
ADBE,Adobe Inc.,stock,,,,,,,,,,
DIS,Walt Disney Company,stock,,,,,,,,,,
COST,Costco Wholesale Corporation,stock,,,,,,,,,,
CSCO,Cisco Systems Inc.,stock,,,,,,,,,,
ACN,Accenture Plc Class A,stock,,,,,,,,,,
MCD,McDonald's Corporation,stock,,,,,,,,,,
INTC,Intel Corporation,stock,,,,,,,,,,
WMT,Walmart Inc.,stock,,,,,,,,,,
BMY,Bristol-Myers Squibb Company,stock,,,,,,,,,,
WFC,Wells Fargo & Company,stock,,,,,,,,,,
LIN,Linde plc,stock,,,,,,,,,,
DHR,Danaher Corporation,stock,,,,,,,,,,
CRM,Salesforce Inc.,stock,,,,,,,,,,
TXN,Texas Instruments Incorporated,stock,,,,,,,,,,
PM,Philip Morris International Inc.,stock,,,,,,,,,,
AMD,Advanced Micro Devices Inc.,stock,,,,,,,,,,
QCOM,Qualcomm Incorporated,stock,,,,,,,,,,
T,AT&T Inc.,stock,,,,,,,,,,
NEE,NextEra Energy Inc.,stock,,,,,,,,,,
AMGN,Amgen Inc.,stock,,,,,,,,,,
NKE,NIKE Inc. Class B,stock,,,,,,,,,,
MDT,Medtronic Plc,stock,,,,,,,,,,
COP,ConocoPhillips,stock,,,,,,,,,,
UNP,Union Pacific Corporation,stock,,,,,,,,,,
RTX,Raytheon Technologies Corporation,stock,,,,,,,,,,
HON,Honeywell International Inc.,stock,,,,,,,,,,
UPS,United Parcel Service Inc. Class B,stock,,,,,,,,,,
CVS,CVS Health Corporation,stock,,,,,,,,,,
LOW,Lowe's Companies Inc.,stock,,,,,,,,,,
SPGI,S&P Global Inc.,stock,,,,,,,,,,
ANTM,Anthem Inc.,stock,,,,,,,,,,
IBM,International Business Machines Corporation,stock,,,,,,,,,,
MS,Morgan Stanley,stock,,,,,,,,,,
AMT,American Tower Corporation,stock,,,,,,,,,,
ORCL,Oracle Corporation,stock,,,,,,,,,,
CAT,Caterpillar Inc.,stock,,,,,,,,,,
INTU,Intuit Inc.,stock,,,,,,,,,,
GS,Goldman Sachs Group Inc.,stock,,,,,,,,,,
LMT,Lockheed Martin Corporation,stock,,,,,,,,,,
C,Citigroup Inc.,stock,,,,,,,,,,
SCHW,Charles Schwab Corp,stock,,,,,,,,,,
AMAT,Applied Materials Inc.,stock,,,,,,,,,,
AXP,American Express Company,stock,,,,,,,,,,
PYPL,PayPal Holdings Inc.,stock,,,,,,,,,,
MO,Altria Group Inc,stock,,,,,,,,,,
PLD,Prologis Inc.,stock,,,,,,,,,,
DE,Deere & Company,stock,,,,,,,,,,
CB,Chubb Limited,stock,,,,,,,,,,
ADP,Automatic Data Processing Inc.,stock,,,,,,,,,,
BKNG,Booking Holdings Inc.,stock,,,,,,,,,,
NOW,ServiceNow Inc.,stock,,,,,,,,,,
BLK,BlackRock Inc.,stock,,,,,,,,,,
ADI,Analog Devices Inc.,stock,,,,,,,,,,
MDLZ,Mondelez International Inc. Class A,stock,,,,,,,,,,
SBUX,Starbucks Corporation,stock,,,,,,,,,,
DUK,Duke Energy Corporation,stock,,,,,,,,,,
CI,Cigna Corporation,stock,,,,,,,,,,
NFLX,Netflix Inc.,stock,,,,,,,,,,
GE,General Electric Company,stock,,,,,,,,,,
MMM,3M Company,stock,,,,,,,,,,
GILD,Gilead Sciences Inc.,stock,,,,,,,,,,
CCI,Crown Castle International Corp,stock,,,,,,,,,,
ISRG,Intuitive Surgical Inc.,stock,,,,,,,,,,
SYK,Stryker Corporation,stock,,,,,,,,,,
SO,Southern Company,stock,,,,,,,,,,
MU,Micron Technology Inc.,stock,,,,,,,,,,
ZTS,Zoetis Inc. Class A,stock,,,,,,,,,,
MMC,Marsh & McLennan Companies Inc.,stock,,,,,,,,,,
TGT,Target Corporation,stock,,,,,,,,,,
TMUS,T-Mobile US Inc.,stock,,,,,,,,,,
BDX,Becton Dickinson and Company,stock,,,,,,,,,,
EOG,EOG Resources Inc.,stock,,,,,,,,,,
REGN,Regeneron Pharmaceuticals Inc.,stock,,,,,,,,,,
CME,CME Group Inc. Class A,stock,,,,,,,,,,
TJX,TJX Companies Inc,stock,,,,,,,,,,
CSX,CSX Corporation,stock,,,,,,,,,,
D,Dominion Energy Inc,stock,,,,,,,,,,
USB,U.S. Bancorp,stock,,,,,,,,,,
BA,Boeing Company,stock,,,,,,,,,,
LRCX,Lam Research Corporation,stock,,,,,,,,,,
VRTX,Vertex Pharmaceuticals Incorporated,stock,,,,,,,,,,
PNC,PNC Financial Services Group Inc.,stock,,,,,,,,,,
NOC,Northrop Grumman Corporation,stock,,,,,,,,,,
PGR,Progressive Corporation,stock,,,,,,,,,,
CL,Colgate-Palmolive Company,stock,,,,,,,,,,
SHW,Sherwin-Williams Company,stock,,,,,,,,,,
TFC,Truist Financial Corporation,stock,,,,,,,,,,
FIS,Fidelity National Information Services Inc.,stock,,,,,,,,,,
ATVI,Activision Blizzard Inc.,stock,,,,,,,,,,
PXD,Pioneer Natural Resources Company,stock,,,,,,,,,,
WM,Waste Management Inc.,stock,,,,,,,,,,
EW,Edwards Lifesciences Corporation,stock,,,,,,,,,,
EQIX,Equinix Inc.,stock,,,,,,,,,,
SLB,Schlumberger NV,stock,,,,,,,,,,
ITW,Illinois Tool Works Inc.,stock,,,,,,,,,,
CHTR,Charter Communications Inc. Class A,stock,,,,,,,,,,
FISV,Fiserv Inc.,stock,,,,,,,,,,
AON,Aon Plc Class A,stock,,,,,,,,,,
HUM,Humana Inc.,stock,,,,,,,,,,
MPC,Marathon Petroleum Corporation,stock,,,,,,,,,,
OXY,Occidental Petroleum Corporation,stock,,,,,,,,,,
BSX,Boston Scientific Corporation,stock,,,,,,,,,,
EL,Estee Lauder Companies Inc. Class A,stock,,,,,,,,,,
NSC,Norfolk Southern Corporation,stock,,,,,,,,,,
ICE,Intercontinental Exchange Inc.,stock,,,,,,,,,,
NEM,Newmont Corporation,stock,,,,,,,,,,
ETN,Eaton Corp. Plc,stock,,,,,,,,,,
FCX,Freeport-McMoRan Inc.,stock,,,,,,,,,,
APD,Air Products and Chemicals Inc.,stock,,,,,,,,,,
GM,General Motors Company,stock,,,,,,,,,,
SRE,Sempra Energy,stock,,,,,,,,,,
KLAC,KLA Corporation,stock,,,,,,,,,,
DOW,Dow Inc.,stock,,,,,,,,,,
AEP,American Electric Power Company Inc.,stock,,,,,,,,,,
VLO,Valero Energy Corporation,stock,,,,,,,,,,
EMR,Emerson Electric Co.,stock,,,,,,,,,,
CNC,Centene Corporation,stock,,,,,,,,,,
F,Ford Motor Company,stock,,,,,,,,,,
GD,General Dynamics Corporation,stock,,,,,,,,,,
FDX,FedEx Corporation,stock,,,,,,,,,,
HCA,HCA Healthcare Inc,stock,,,,,,,,,,
MCK,McKesson Corporation,stock,,,,,,,,,,
MRNA,Moderna Inc.,stock,,,,,,,,,,
NXPI,NXP Semiconductors NV,stock,,,,,,,,,,
PSA,Public Storage,stock,,,,,,,,,,
SNPS,Synopsys Inc.,stock,,,,,,,,,,
COF,Capital One Financial Corp,stock,,,,,,,,,,
ADM,Archer-Daniels-Midland Company,stock,,,,,,,,,,
MCO,Moody's Corporation,stock,,,,,,,,,,
AIG,American International Group Inc.,stock,,,,,,,,,,
EXC,Exelon Corporation,stock,,,,,,,,,,
LHX,L3Harris Technologies Inc,stock,,,,,,,,,,
DVN,Devon Energy Corporation,stock,,,,,,,,,,
ROP,Roper Technologies Inc.,stock,,,,,,,,,,
PSX,Phillips 66,stock,,,,,,,,,,
DG,Dollar General Corporation,stock,,,,,,,,,,
MET,MetLife Inc.,stock,,,,,,,,,,
CTVA,Corteva Inc,stock,,,,,,,,,,
KMB,Kimberly-Clark Corporation,stock,,,,,,,,,,
WMB,Williams Companies Inc.,stock,,,,,,,,,,
MAR,Marriott International Inc. Class A,stock,,,,,,,,,,
ADSK,Autodesk Inc.,stock,,,,,,,,,,
APH,Amphenol Corporation Class A,stock,,,,,,,,,,
TRV,Travelers Companies Inc.,stock,,,,,,,,,,
GIS,General Mills Inc.,stock,,,,,,,,,,
CDNS,Cadence Design Systems Inc.,stock,,,,,,,,,,
TEL,TE Connectivity Ltd.,stock,,,,,,,,,,
XEL,Xcel Energy Inc.,stock,,,,,,,,,,
ECL,Ecolab Inc.,stock,,,,,,,,,,
SYY,Sysco Corporation,stock,,,,,,,,,,
WBD,Warner Bros. Discovery Inc. Series A,stock,,,,,,,,,,
FTNT,Fortinet Inc.,stock,,,,,,,,,,
IQV,IQVIA Holdings Inc,stock,,,,,,,,,,
ORLY,O'Reilly Automotive Inc.,stock,,,,,,,,,,
STZ,Constellation Brands Inc. Class A,stock,,,,,,,,,,
